case_ref,fraud_type,category,is_scam,channel_name,sub_scenario,detection_method,case_owner_team,case_status,fraud_start_ts,fraud_date,detection_ts,customer_report_ts,resolution_ts,amount_attempted,amount_lost,amount_recovered,net_loss,recovery_rate,transaction_count,reimbursed_flag,provisional_credit_flag,cross_border_flag,detect_lag_hours,report_lag_hours,resolution_days,report_lag_band,product_name,balance_band,zelle_enabled,account_status,customer_ref,age_band,segment,state,city,tenure_years,digital_enrolled,prior_fraud_claims
FRD000008607,"Identity Theft/Synthetic",Unauthorized,0,"Online Banking","stolen SSN","ML Model","Fraud Ops",Open,"2026-02-17 08:56:46",2026-02-17,"2026-03-05 17:50:02","2026-03-05 22:02:28",NULL,2873.14,470.76,94.87,375.89,0.2015,2,0,1,0,392,397,NULL,"4. 7d+","Premier Savings",$1K-5K,1,active,CUS0002027,55-64,"Consumer Banking",KS,"Overland Park",0.9,1,1
FRD000004435,Phishing/Smishing,Unauthorized,1,"Online Banking","fake login page","Rules Engine","Fraud Ops","Closed-No Fraud","2024-11-09 05:16:11",2024-11-09,"2024-11-13 17:43:09",NULL,"2024-11-24 23:01:46",1647.70,0.00,0.00,0.00,NULL,1,0,0,1,108,NULL,15,"Never Reported","Freedom Unlimited",$25K-100K,0,active,CUS0002000,25-34,"Consumer Banking",MI,Lansing,0.7,1,0
FRD000006479,"Zelle/P2P Scam",Authorized,1,"Online Banking","rental deposit","Rules Engine",Claims,Closed-Confirmed,"2024-04-06 04:28:05",2024-04-06,"2024-04-06 21:04:48",NULL,"2024-05-04 21:13:25",429.94,429.94,52.20,377.74,0.1214,1,0,0,0,16,NULL,28,"Never Reported","Premier Savings",$5K-25K,1,active,CUS0000641,25-34,"Consumer Banking",TX,Houston,10.6,1,0
FRD000002082,Card-Not-Present,Unauthorized,0,"Online Banking","subscription abuse","ML Model","Card Services",Open,"2024-11-14 10:08:42",2024-11-14,"2024-11-17 04:09:46","2024-11-17 10:57:54",NULL,194.42,132.17,130.27,1.90,0.9856,3,1,1,1,66,72,NULL,"3. 3-7d","Sapphire Preferred",$25K-100K,0,active,CUS0000241,65+,"Consumer Banking",KS,Topeka,0.4,1,0
FRD000000879,Card-Not-Present,Unauthorized,0,"Online Banking","card testing","Merchant Alert","Card Services",Closed-Confirmed,"2025-12-30 22:47:26",2025-12-30,"2025-12-31 22:17:16",NULL,"2026-01-15 12:35:22",48.43,48.43,33.35,15.08,0.6886,2,1,0,0,23,NULL,15,"Never Reported","Private Client Checking",$5K-25K,1,active,CUS0000320,25-34,"Private Client Banking",CA,"San Diego",4.7,0,0
FRD000007207,"Zelle/P2P Scam",Authorized,1,"Online Banking","utility impersonation","Customer Reported",Claims,Closed-Confirmed,"2025-10-23 05:24:28",2025-10-23,"2025-10-23 15:52:09","2025-10-23 20:02:18","2025-11-10 10:42:35",1412.93,1412.93,193.69,1219.24,0.1371,2,0,0,0,10,14,18,"1. <24h","Auto Loan",$5K-25K,0,active,CUS0001862,45-54,"Consumer Banking",TX,Austin,2.0,1,1
FRD000006319,"Zelle/P2P Scam",Authorized,1,"Online Banking","fake marketplace seller","Customer Reported",Claims,Closed-Confirmed,"2025-04-18 12:02:49",2025-04-18,"2025-04-18 15:40:24","2025-04-18 20:46:04","2025-05-11 08:50:14",187.36,187.36,27.21,160.15,0.1452,1,0,0,0,3,8,22,"1. <24h","Business Savings",$25K-100K,1,active,CUS0001461,35-44,"Financial Banking",FL,Tampa,2.2,1,0
FRD000009899,"Tech Support/Impersonation",Authorized,1,"Online Banking","refund overpayment","Rules Engine",Claims,Closed-Confirmed,"2024-06-06 00:09:41",2024-06-06,"2024-06-09 17:22:44",NULL,"2024-06-23 05:22:40",1447.11,1447.11,358.43,1088.68,0.2477,1,1,0,1,89,NULL,17,"Never Reported","Auto Loan",<$1K,0,active,CUS0001576,18-24,"Consumer Banking",TX,Houston,6.2,1,0
FRD000004300,Phishing/Smishing,Unauthorized,1,"Online Banking","credential harvest","Rules Engine","Fraud Ops",Closed-Confirmed,"2024-02-02 19:33:36",2024-02-02,"2024-02-04 11:14:25","2024-02-06 04:58:19","2024-03-07 04:53:48",1781.43,1781.43,914.30,867.13,0.5132,1,1,0,0,39,81,33,"3. 3-7d","Auto Loan",$5K-25K,0,active,CUS0002074,25-34,"Consumer Banking",NJ,Trenton,8.5,1,1
FRD000008526,"Identity Theft/Synthetic",Unauthorized,0,"Online Banking","synthetic identity","ML Model","Fraud Ops",Closed-Confirmed,"2024-08-26 15:56:07",2024-08-26,"2025-03-30 06:56:14","2025-04-02 03:55:11","2025-04-25 03:11:52",10618.54,10618.54,2283.94,8334.60,0.2151,3,1,1,0,5175,5243,241,"4. 7d+","Sapphire Preferred",$5K-25K,0,closed,CUS0001600,55-64,"Consumer Banking",MI,Lansing,4.0,1,0
FRD000002899,Card-Not-Present,Unauthorized,0,"Online Banking","subscription abuse","Rules Engine","Card Services","Closed-No Fraud","2026-04-20 16:32:00",2026-04-20,"2026-04-21 08:33:07","2026-04-21 12:19:38","2026-05-09 11:05:28",58.30,0.00,0.00,0.00,NULL,3,0,0,1,16,19,18,"1. <24h","Sapphire Preferred",$1K-5K,0,active,CUS0002863,45-54,"Consumer Banking",CA,"San Diego",6.0,1,0
FRD000006288,"Zelle/P2P Scam",Authorized,1,"Online Banking","utility impersonation","Customer Reported",Claims,Closed-Confirmed,"2024-11-30 13:09:54",2024-11-30,"2024-11-30 19:01:09","2024-12-01 01:00:48","2024-12-07 13:41:31",308.86,308.86,37.52,271.34,0.1215,1,0,0,0,5,11,7,"1. <24h","Sapphire Preferred",$25K-100K,0,active,CUS0002307,45-54,"Consumer Banking",KS,"Overland Park",10.7,1,0
